project	tissue	method	recall	precision	dataset	log2_precision_over_prior
SRP007483	brain	wTO	5	0.116568197955602	SRP007483_brain	0.1257668648765207
SRP007584	colon	wTO	5	0.17495772201654555	SRP007584_colon	0.7115989590398347
SRP007584	intestine	wTO	5	0.1812363880046909	SRP007584_intestine	0.762465261291684
SRP007605	heart	wTO	5	0.14063401521111984	SRP007605_heart	0.39653819948915664
SRP007825	skin	wTO	5	0.21413098940031386	SRP007825_skin	1.0030862176966038
SRP008218	breast	wTO	5	0.15674463470962655	SRP008218_breast	0.5530086787314789
SRP008225	stem_cell	wTO	5	0.12401101084056984	SRP008225_stem_cell	0.21506083965049663
SRP008331	breast	wTO	5	0.1312010405447558	SRP008331_breast	0.29637177948610566
SRP008482	blood_vessel	wTO	5	0.1279024588162885	SRP008482_blood_vessel	0.2596366166626492
SRP008496	umbilical_cord	wTO	5	0.15614347789785496	SRP008496_umbilical_cord	0.5474649269340953
SRP008746	breast	wTO	5	0.1735806427233203	SRP008746_breast	0.7001986886182634
SRP008775	blood	wTO	5	0.15078857630008524	SRP008775_blood	0.49711975216608784
SRP008976	blood	wTO	5	0.1665454350555879	SRP008976_blood	0.6405084284425119
SRP009123	liver	wTO	5	0.1596055755870196	SRP009123_liver	0.5791036684668016
SRP009251	skin	wTO	5	0.1609650184591176	SRP009251_skin	0.5913398079212111
SRP009262	tonsil	wTO	5	0.14082075764318755	SRP009262_tonsil	0.39845262728491887
SRP009266	brain	wTO	5	0.11938441489939342	SRP009266_brain	0.1602071291076129
SRP009266	breast	wTO	5	0.09939921181465455	SRP009266_breast	-0.10410106530655523
SRP009266	epithelium	wTO	5	0.13668846593148898	SRP009266_epithelium	0.3554841279387799
SRP009266	lung	wTO	5	0.12273914090523087	SRP009266_lung	0.20018800827723499
SRP009276	breast	wTO	5	0.1307434245840043	SRP009276_breast	0.2913310091187892
SRP009276	skin	wTO	5	0.1227414914914915	SRP009276_skin	0.20021563717087412
SRP009316	tonsil	wTO	5	0.1838655045644182	SRP009316_tonsil	0.783243455347901
SRP009373	blood	wTO	5	0.13447811157741868	SRP009373_blood	0.33196398822487067
