project	sample	run	sharq_beta_tissue
SRP012682	SRS627930	SRR1341626	Pancreas
SRP012682	SRS389757	SRR660614	Adipose Tissue
SRP012682	SRS374948	SRR615347	Thyroid
SRP012682	SRS408131	SRR808065	Testis
SRP012682	SRS534945	SRR1120781	Esophagus
SRP012682	SRS524329	SRR1071785	Skin
SRP012682	SRS650073	SRR1498354	Blood Vessel
SRP012682	SRS526058	SRR1096782	Skin
SRP012682	SRS638140	SRR1405485	Brain
SRP012682	SRS389680	SRR659355	Skin
SRP012682	SRS374721	SRR612383	Blood Vessel
SRP012682	SRS638137	SRR1405413	Skin
SRP012682	SRS627430	SRR1335140	Adipose Tissue
SRP012682	SRS648509	SRR1472812	Esophagus
SRP012682	SRS627345	SRR1334490	Lung
SRP012682	SRS638068	SRR1403958	Brain
SRP012682	SRS623860	SRR1308357	Esophagus
SRP012682	SRS648498	SRR1472576	Adipose Tissue
SRP012682	SRS644642	SRR1445304	Adrenal Gland
SRP012682	SRS649608	SRR1487128	Skin
SRP012682	SRS644021	SRR1433493	Salivary Gland
SRP012682	SRS525385	SRR1094051	Muscle
SRP012682	SRS645742	SRR1452935	Adipose Tissue
SRP012682	SRS644771	SRR1448098	Nerve
SRP012682	SRS389663	SRR659472	Brain
SRP012682	SRS625752	SRR1324496	Muscle
SRP012682	SRS646025	SRR1459033	Brain
SRP012682	SRS626940	SRR1329400	Skin
SRP012682	SRS643920	SRR1431366	Brain
SRP012682	SRS627886	SRR1340885	Blood
SRP012682	SRS526179	SRR1099378	Adrenal Gland
SRP012682	SRS623907	SRR1309468	Lung
SRP012682	SRS524232	SRR1069614	Skin
SRP012682	SRS639474	SRR1419476	Blood Vessel
SRP012682	SRS627332	SRR1334440	Brain
SRP012682	SRS644659	SRR1445655	Adipose Tissue
SRP012682	SRS638172	SRR1405921	Colon
SRP012682	SRS637664	SRR1396840	Blood Vessel
SRP012682	SRS629252	SRR1347412	Adrenal Gland
SRP012682	SRS626943	SRR1329464	Thyroid
SRP012682	SRS630108	SRR1362928	Colon
SRP012682	SRS635356	SRR1384754	Blood Vessel
SRP012682	SRS623913	SRR1309597	Spleen
SRP012682	SRS635144	SRR1382440	Pancreas
SRP012682	SRS525132	SRR1089207	Colon
SRP012682	SRS648314	SRR1468637	Lung
SRP012682	SRS526009	SRR1096033	Skin
SRP012682	SRS637040	SRR1393449	Muscle
SRP012682	SRS629518	SRR1352299	Skin
SRP012682	SRS625738	SRR1324206	Breast
SRP012682	SRS629667	SRR1355194	Heart
SRP012682	SRS631256	SRR1365489	Lung
SRP012682	SRS629937	SRR1360128	Brain
SRP012682	SRS638372	SRR1409263	Muscle
SRP012682	SRS629803	SRR1357344	Thyroid
SRP012682	SRS625587	SRR1321401	Nerve
SRP012682	SRS631408	SRR1367761	Blood Vessel
SRP012682	SRS648922	SRR1481333	Blood Vessel
SRP012682	SRS645714	SRR1452292	Brain
SRP012682	SRS637635	SRR1396208	Ovary
SRP012682	SRS648727	SRR1477197	Brain
